u^2,u^3
-0.07624797303275233,-0.009316912458692003
0.016654298340393645,0.017338727321888937
-0.0061526821997016454,-0.005480329853168669
-0.08289768489069109,-0.010185091262789403
-0.005800350251817633,-0.00693730741750404
-0.07979636746879035,-0.011259642312571502
-0.08066939795549062,-0.010008083509296611
-0.0052335318349210755,-0.004277876143775222
-0.08273121964655233,-0.011525948718424706
0.01674821345274958,0.015501922039343146
0.017455249246220744,0.01631378067997248
-0.08169782614449991,-0.010753084930807422
0.027326666787533194,0.06497581935313992
0.027872456053241124,0.06970890702740748
0.015122292174521877,0.015793377648866323
0.026749290631243632,0.06848010518955323
-0.07969486670319645,-0.011579008680678104
-0.007931063353356577,-0.005603089533575365
-0.08034604580785462,-0.012663049342561853
-0.004986853415890216,-0.0034551754184135907
-0.08058935598496089,-0.00983426223315617
-0.08102504635852043,-0.010656717090374579
0.02861443750987412,0.06981739163784809
0.046156835746300945,-0.06690735940857039
0.02910659999968633,0.06916690004509243
-0.08323643965741116,-0.010879317244507436
0.02797018995737223,0.06617355882499074
0.046030303677521256,-0.06896461954553905
-0.07941687911533021,-0.010403617708199657
-0.08228102864226698,-0.01061300006531045
0.04587240035317588,-0.06949239360465465
0.02747824882033245,0.06854998402207078
0.04544789070602476,-0.07034392875339687
0.04559019408023062,-0.06849810151871227
0.018484418579354053,0.016844492629638056
0.017801645914284618,0.016204659284826003
0.017711062875674886,0.016645809852300963
0.046059093301749496,-0.07083918665732739
0.019427902154790386,0.014757332684604663
0.04471502019506604,-0.0689551551973313
0.043793994674705836,-0.06732618309851338
0.01773900745637062,0.015683430924110602
0.026664515509415836,0.06799513723514218
-0.004029132954474867,-0.007020585519120848
0.027885045561650827,0.06639619191761174
-0.07901466202449219,-0.009728677001203022
-0.006784153309648993,-0.005308997729743606
0.043400042706070834,-0.063273416055011
0.04558438737484082,-0.07173994936666159
0.046867085379516206,-0.07233190082913898
0.02587845609501919,0.06469568643743394
0.018935829251753186,0.01536479594763097
0.018760432389135575,0.01591045837176409
-0.006106229635959701,-0.005448910174895093
0.017943819458145546,0.015621596621790627
-0.08322739425624555,-0.010859394134621727
-0.0071569854047116525,-0.0031593990848270063
0.017188527035190474,0.016342765625964793
0.01775180634673107,0.015663165327770148
0.04349780445920672,-0.06841028753483004
0.0180232927220992,0.014815894802714396
0.028291508397964453,0.06905256698587993
0.026644889237041013,0.06794720524497362
-0.007088688728958483,-0.006047377492112659
